id,customer_id,loan_type,principal,interest_rate,term_months,outstanding_balance,status,disbursed_at,due_at
87,1079,mortgage,196562.4,5.25,267,99764.1,defaulted,2025-08-09T12:24:36,2047-11-09T12:24:36
88,1695,mortgage,296722.81,5.9,124,280609.68,late,2025-09-22T10:26:05,2036-01-22T10:26:05
89,161,auto,743415.16,8.38,26,541206.13,defaulted,2025-01-31T23:59:36,2027-03-31T23:59:36
90,4217,mortgage,417680.63,3.53,297,415362.26,active,2026-03-16T16:38:23,2050-12-16T16:38:23
91,3486,personal,38851.66,17.63,32,38556.64,active,2026-05-08T18:02:21,2029-01-08T18:02:21
92,2893,personal,10658.56,11.23,59,9723.24,active,2025-12-03T00:58:13,2030-11-03T00:58:13
93,3487,auto,991037.39,5.48,43,663321.51,defaulted,2025-01-23T01:39:07,2028-08-23T01:39:07
94,2377,student,2193894.62,7.98,209,2063496.31,late,2024-11-27T10:53:08,2042-04-27T10:53:08
95,2737,mortgage,221064.73,5.03,275,200160.34,active,2023-10-05T17:40:03,2046-09-05T17:40:03
96,1756,auto,101045.26,9.42,49,81173.51,active,2025-07-05T14:33:44,2029-08-05T14:33:44
97,4784,personal,166780.2,15.31,17,107498.68,active,2025-09-29T22:13:27,2027-03-01T22:13:27
98,1124,personal,2172.83,12.06,21,612.74,late,2024-11-07T20:41:42,2026-08-07T20:41:42
99,3351,personal,1203824.87,16.09,16,0,paid_off,2023-10-14T13:31:28,2025-02-14T13:31:28
100,4718,personal,22167.09,9.6,57,10274.94,active,2023-03-16T07:05:23,2027-12-16T07:05:23
101,1352,auto,994058.91,8.28,37,761697.83,defaulted,2024-10-31T08:42:42,2027-12-01T08:42:42
102,1546,mortgage,91138.28,4.07,199,90826.62,late,2026-04-22T22:36:23,2042-11-22T22:36:23
103,2544,auto,33511.16,8.71,26,28501.76,active,2025-12-21T16:34:17,2028-02-21T16:34:17
104,1149,student,106967.66,3.43,214,102535.29,active,2025-07-18T20:41:51,2043-05-18T20:41:51
105,2140,student,777402.21,6.65,150,734403.78,active,2025-08-05T09:32:52,2038-02-05T09:32:52
106,4048,mortgage,1909151.97,4.42,297,1351207.32,defaulted,2024-08-10T01:53:46,2049-05-10T01:53:46
107,140,mortgage,745092.43,3.14,152,700251.75,active,2025-06-28T01:19:00,2038-02-28T01:19:00
108,75,personal,6804.64,16.56,33,4567.81,active,2025-03-23T06:17:52,2027-12-23T06:17:52
109,4850,personal,8927.73,11.29,15,6768.88,late,2026-01-10T05:34:17,2027-04-10T05:34:17
110,4932,personal,44647.82,10.75,28,1561.95,active,2023-02-09T04:20:09,2025-06-09T04:20:09
111,1384,personal,8741.78,7.29,21,4849.27,defaulted,2025-12-22T07:49:08,2027-09-22T07:49:08
112,2635,mortgage,152050.37,4.3,245,152016.92,late,2026-05-15T03:25:04,2046-10-15T03:25:04
113,1567,student,91123.78,6.3,112,90753.97,active,2026-05-02T04:47:40,2035-09-02T04:47:40
114,2401,personal,9748.66,16.35,27,1064.97,active,2022-03-07T21:20:30,2024-06-07T21:20:30
115,4310,personal,2060219.56,15.06,14,0,paid_off,2024-06-23T11:14:13,2025-08-23T11:14:13
116,1320,personal,259773,8.47,41,216473.24,active,2025-09-28T12:36:11,2029-02-28T12:36:11
117,4159,mortgage,41145765.09,6.69,326,40518473.92,active,2025-11-18T08:56:52,2053-01-18T08:56:52
118,1542,auto,52445.54,8.83,74,41752.55,active,2024-12-06T19:03:54,2031-02-06T19:03:54
119,1152,student,8276640.55,7.84,115,7694118.6,active,2025-05-30T16:39:31,2034-12-30T16:39:31
120,4532,auto,235851.47,8.31,65,171455.86,defaulted,2025-10-04T01:04:46,2031-03-04T01:04:46
121,4480,auto,47055.38,9.4,26,5453.07,active,2024-04-27T04:47:49,2026-06-27T04:47:49
122,1756,auto,96727.34,9.68,62,51161.35,defaulted,2024-10-07T07:16:06,2029-12-07T07:16:06
123,4316,mortgage,439432.23,6.27,139,358580.33,late,2023-08-13T10:22:46,2035-03-13T10:22:46
124,3942,student,130636.41,4.97,194,125804.37,active,2025-08-24T22:49:27,2041-10-24T22:49:27
125,3977,student,9541.69,4.03,228,7844.33,defaulted,2025-11-22T15:05:53,2044-11-22T15:05:53
126,2902,personal,7201.83,14.41,32,3823.54,defaulted,2025-09-23T03:07:28,2028-05-23T03:07:28
127,519,personal,97345.28,6.87,28,74170.43,late,2025-09-25T05:01:06,2028-01-25T05:01:06
128,2678,mortgage,160918.17,5.5,186,143333.64,active,2024-07-09T07:36:24,2040-01-09T07:36:24
129,118,student,22814.73,7.78,147,18775.62,late,2023-12-11T23:59:16,2036-03-11T23:59:16
130,4158,personal,2048693.26,12.65,32,100800.81,active,2023-09-21T17:57:45,2026-05-21T17:57:45
131,4748,business,17397379.32,6.92,37,13791436.71,active,2025-07-20T13:02:05,2028-08-20T13:02:05
132,4065,business,171837.65,10.89,24,30404.79,active,2024-08-06T07:01:46,2026-08-06T07:01:46
133,2516,auto,44644.34,8.52,72,33403.92,active,2024-08-01T02:16:01,2030-08-01T02:16:01
134,3071,mortgage,17011472.46,5.19,214,16600622.23,active,2025-11-11T13:37:37,2043-09-11T13:37:37
135,3121,personal,4202.97,9.83,28,3285.39,active,2025-09-22T10:57:21,2028-01-22T10:57:21
136,947,personal,27191.38,12.3,47,11533.17,active,2023-11-28T09:10:15,2027-10-28T09:10:15
137,4543,auto,307315.92,7.26,75,254514.67,active,2024-11-18T12:36:24,2031-02-18T12:36:24
138,3150,mortgage,11816688.08,5.41,337,11620059.3,active,2025-09-24T17:10:59,2053-10-24T17:10:59
139,3836,personal,9361.58,13.21,25,8421.07,active,2026-02-27T02:22:22,2028-03-27T02:22:22
140,3271,personal,14118.18,13.39,34,13355.25,late,2026-03-05T14:04:45,2029-01-05T14:04:45
141,4840,personal,25293.39,14.75,54,17964.64,active,2024-12-30T11:36:49,2029-06-30T11:36:49
142,3751,personal,9013.55,14.63,56,3967.45,defaulted,2025-03-09T03:41:44,2029-11-09T03:41:44
143,4004,mortgage,198782.99,5.75,259,194458.75,active,2025-10-04T22:01:19,2047-05-04T22:01:19
144,2749,personal,664555.75,13.79,38,642138.05,active,2026-04-03T21:34:42,2029-06-03T21:34:42
145,282,mortgage,364105.03,4.7,293,357073.93,active,2025-11-17T07:09:56,2050-04-17T07:09:56
146,4574,mortgage,184676.47,6.72,313,184469.39,active,2026-05-02T05:02:59,2052-06-02T05:02:59
147,917,mortgage,299389.7,5.53,224,284268.35,active,2025-03-16T19:55:05,2043-11-16T19:55:05
148,961,mortgage,554008.31,5.3,301,225044.82,defaulted,2026-01-20T00:04:21,2051-02-20T00:04:21
149,705,personal,922243,17.78,26,577327.03,active,2025-07-07T04:16:57,2027-09-07T04:16:57
150,2633,personal,29016.56,6.12,49,26142.64,active,2025-11-09T23:27:11,2029-12-09T23:27:11
151,3676,auto,53174.43,8.29,39,51192.33,late,2026-03-22T20:06:14,2029-06-22T20:06:14
152,4937,mortgage,384799.8,6.64,223,307823.37,defaulted,2025-11-06T22:41:52,2044-06-06T22:41:52
153,4779,auto,53604.31,5.98,50,42301.58,defaulted,2026-04-22T17:02:23,2030-06-22T17:02:23
154,833,personal,30945.13,7.96,31,19859.36,defaulted,2026-05-11T23:08:23,2028-12-11T23:08:23
155,3914,auto,41501.8,9.25,63,32718.04,defaulted,2026-01-09T20:09:32,2031-04-09T20:09:32
156,3835,personal,15674.79,8.64,55,12650.69,active,2025-03-09T23:50:23,2029-10-09T23:50:23
157,3074,personal,16234.74,13.24,43,11875.24,active,2025-05-08T08:15:14,2028-12-08T08:15:14
158,2138,personal,97725.61,7.99,55,0,paid_off,2022-01-09T08:20:17,2026-08-09T08:20:17
159,4987,auto,178402,7.73,43,117282.53,active,2025-01-03T23:02:43,2028-08-03T23:02:43
160,4884,personal,14639.51,8.55,36,10087.39,active,2025-05-06T10:10:35,2028-05-06T10:10:35
161,4170,personal,19105.81,8.87,26,19001.02,active,2026-05-11T20:11:15,2028-07-11T20:11:15
162,4864,personal,21111.82,8.03,17,20441.13,active,2026-04-28T23:29:33,2027-09-28T23:29:33
163,3226,mortgage,262800.78,3.68,265,244317.22,active,2024-05-16T11:34:58,2046-06-16T11:34:58
164,2071,personal,17356.44,6.8,42,12811.45,late,2025-05-31T14:46:43,2028-12-01T14:46:43
165,2843,mortgage,383039.89,5.19,198,365258.17,active,2025-07-01T09:57:32,2042-01-01T09:57:32
166,4873,personal,24223.32,11.7,17,7644.88,active,2025-05-25T01:01:25,2026-10-25T01:01:25
167,4599,personal,16868.38,17.39,35,14917.9,active,2026-01-08T06:24:31,2028-12-08T06:24:31
168,208,business,14316125.65,12.65,45,12579327.3,defaulted,2025-12-23T09:49:37,2029-09-23T09:49:37
169,1504,personal,3629262.74,14.78,13,2636368.75,defaulted,2025-12-03T04:40:11,2027-01-03T04:40:11
170,16,personal,7810.17,14.47,28,6977.28,active,2026-01-22T07:33:44,2028-05-22T07:33:44
171,4668,auto,76917,6.21,25,40178.72,active,2024-12-23T15:01:57,2027-01-23T15:01:57
172,924,mortgage,505979.89,3.02,261,455355.46,defaulted,2025-10-14T07:01:44,2047-07-14T07:01:44
173,2140,personal,191667.3,9.72,52,176813.98,active,2026-01-07T15:11:09,2030-05-07T15:11:09
174,1064,business,2033799.8,12.95,57,1064282.9,defaulted,2022-09-08T16:23:14,2027-06-08T16:23:14
175,2322,personal,967.39,8.85,35,614.13,active,2025-04-18T06:56:17,2028-03-18T06:56:17
176,3918,auto,4465671.25,9.62,61,2792125.21,active,2024-02-27T02:20:14,2029-03-27T02:20:14
177,2278,personal,34447.38,14.51,16,0,paid_off,2025-03-24T05:15:53,2026-07-24T05:15:53
178,1448,personal,93547.6,7.68,57,77882.9,active,2025-06-16T12:59:35,2030-03-16T12:59:35
179,3724,personal,7738.93,10.74,33,6017.28,active,2025-07-28T05:06:56,2028-04-28T05:06:56
180,3433,mortgage,325252.59,3.31,154,310693.96,active,2025-09-29T12:54:13,2038-07-29T12:54:13
181,896,personal,4739.57,6.9,30,4691.17,active,2026-05-05T05:04:47,2028-11-05T05:04:47
182,195,mortgage,563911.06,3.13,221,562476.29,active,2026-04-24T22:14:21,2044-09-24T22:14:21
183,46,mortgage,457466.86,3.24,167,340759,active,2022-06-28T11:37:50,2036-05-28T11:37:50
184,727,business,74833.07,10.24,39,68500.17,active,2026-01-19T09:24:41,2029-04-19T09:24:41
185,1743,auto,71558.62,8.85,59,68455.35,active,2026-02-07T04:30:40,2031-01-07T04:30:40
186,3181,auto,10914,6.97,54,9470.66,active,2025-09-23T21:05:25,2030-03-23T21:05:25
187,2672,personal,95704.99,9.52,33,94953.01,late,2026-05-06T16:04:18,2029-02-06T16:04:18
188,1459,mortgage,286214.29,3.78,285,280841.62,active,2025-10-21T10:04:47,2049-07-21T10:04:47
189,99,mortgage,49824386.77,6.78,149,42463074.04,active,2024-06-28T03:52:30,2036-11-28T03:52:30
190,1552,credit_line,25920.14,9.48,15,25493.72,active,2026-05-08T16:10:21,2027-08-08T16:10:21
191,2930,student,41451.33,5.73,93,27381.49,active,2023-01-19T06:22:26,2030-10-19T06:22:26
192,4237,personal,19806.34,15.05,57,17399.46,active,2025-09-01T17:04:47,2030-06-01T17:04:47
193,2044,personal,37697.93,16.41,14,27368.46,active,2025-12-03T13:37:24,2027-02-03T13:37:24
194,4569,personal,16359.13,15.7,48,12903.66,defaulted,2026-03-10T06:13:18,2030-03-10T06:13:18
195,4185,mortgage,387656.61,4.34,202,372024.14,active,2025-08-21T05:25:12,2042-06-21T05:25:12
196,1598,mortgage,311107.55,5.79,203,288112.01,active,2024-10-24T15:46:34,2041-09-24T15:46:34
197,941,personal,14054.23,16.29,25,12775.71,active,2026-03-02T04:53:35,2028-04-02T04:53:35
198,227,student,55661.13,7.52,152,47577.92,defaulted,2025-01-02T20:09:51,2037-09-02T20:09:51
199,820,auto,1640856.18,9.08,64,1343212.54,late,2025-02-15T21:35:17,2030-06-15T21:35:17
200,444,mortgage,7608127.45,5.81,133,6714897.8,active,2024-11-18T19:02:24,2035-12-18T19:02:24
201,3880,mortgage,376651.36,6.72,319,362049.22,active,2024-12-26T13:08:04,2051-07-26T13:08:04
202,1754,personal,174598.44,11.13,42,115678.16,active,2024-11-20T20:49:55,2028-05-20T20:49:55
203,3884,mortgage,262181.47,2.94,336,259417.94,active,2026-01-16T09:47:54,2054-01-16T09:47:54
204,1369,personal,22950.83,13.9,51,10856.31,defaulted,2023-10-31T12:46:04,2028-01-31T12:46:04
205,3751,mortgage,135097.48,3.15,313,133263.77,active,2025-12-28T10:53:15,2052-01-28T10:53:15
206,761,mortgage,7016794.94,4.67,158,6951119.43,active,2026-03-25T09:40:15,2039-05-25T09:40:15
207,1265,mortgage,674260.87,3.2,202,665409.77,active,2026-02-13T02:43:16,2042-12-13T02:43:16
208,3958,student,68111.9,6.32,205,62149.37,active,2024-11-14T14:35:06,2041-12-14T14:35:06
209,3135,auto,44304.2,4.34,34,38159.19,late,2025-12-07T07:18:02,2028-10-07T07:18:02
210,1538,auto,16688.88,4.17,44,11643.41,active,2025-03-20T18:18:37,2028-11-20T18:18:37
211,686,student,14473.92,4.88,138,11154.68,active,2023-08-05T03:25:46,2035-02-05T03:25:46
212,1485,personal,2333819.33,14.86,47,2330375.1,late,2026-05-14T02:58:10,2030-04-14T02:58:10
213,3451,auto,1734797.52,5.15,70,0,paid_off,2022-04-30T15:53:04,2028-03-01T15:53:04
214,3453,student,21077.7,4.51,65,14334.14,active,2024-04-05T14:04:38,2029-09-05T14:04:38
215,4898,mortgage,375079.12,4.57,286,364970.74,late,2025-08-22T03:39:22,2049-06-22T03:39:22
216,1602,auto,19062.81,7.75,82,13118.46,late,2023-11-28T22:26:47,2030-09-28T22:26:47
217,1141,business,862288.59,9.24,28,581704.86,active,2025-07-24T19:36:03,2027-11-24T19:36:03
218,4789,personal,10020.99,13.07,33,0,paid_off,2024-12-02T08:24:41,2027-09-02T08:24:41
219,3464,auto,33217.93,7.65,80,25606.15,active,2024-08-17T01:02:40,2031-04-17T01:02:40
220,2176,mortgage,147748.73,5.73,278,128734.19,active,2023-04-17T06:32:20,2046-06-17T06:32:20
221,3527,personal,42936.85,10.85,33,11454.12,active,2023-12-14T22:42:28,2026-09-14T22:42:28
222,1147,student,14518.31,5.44,167,14475.61,active,2026-04-27T16:50:50,2040-03-27T16:50:50
223,2822,personal,15765.28,10.39,24,14855.2,active,2026-03-26T16:35:08,2028-03-26T16:35:08
224,4211,mortgage,342532.42,6.23,124,323922.97,active,2025-10-20T03:39:10,2036-02-20T03:39:10
225,2769,business,148097.36,10.03,30,99994.33,defaulted,2025-12-02T05:15:14,2028-06-02T05:15:14
226,4565,auto,12021.32,6.78,73,9522.9,active,2024-10-23T02:16:35,2030-11-23T02:16:35
227,2148,business,4200209.05,6.38,98,3468736.31,active,2024-10-18T13:00:15,2032-12-18T13:00:15
228,4223,personal,15139.4,16.54,29,0,paid_off,2022-02-13T22:49:09,2024-07-13T22:49:09
229,1433,personal,1265.37,11.32,26,1222.79,active,2026-04-19T23:04:14,2028-06-19T23:04:14
230,3998,personal,3803.89,15.67,36,2127.14,late,2024-12-04T22:40:30,2027-12-04T22:40:30
231,660,personal,10710.58,9.89,20,8790.12,late,2025-12-20T04:49:15,2027-08-20T04:49:15
232,2433,mortgage,444118.7,6.96,224,234856.22,defaulted,2024-09-24T16:14:31,2043-05-24T16:14:31
233,2168,auto,49912.95,9.83,62,44301.7,late,2025-08-12T11:53:30,2030-10-12T11:53:30
234,4271,personal,9431.47,7.34,24,9413.8,active,2026-05-14T21:59:45,2028-05-14T21:59:45
235,149,auto,54570.97,5.66,47,28548.24,defaulted,2025-11-19T10:34:21,2029-10-19T10:34:21
236,841,auto,3279914.28,8.35,46,3067721.8,active,2026-01-26T20:50:55,2029-11-26T20:50:55
237,1878,student,913256.72,3.13,131,829855.95,late,2025-02-24T09:38:17,2036-01-24T09:38:17
238,1875,personal,33560.52,7.66,37,32708.47,active,2026-04-07T06:15:22,2029-05-07T06:15:22
239,2860,student,18968.8,7.94,180,18750.45,active,2026-03-13T19:07:55,2041-03-13T19:07:55
240,1562,mortgage,409294.47,4.81,299,405923.32,active,2026-02-04T23:11:57,2051-01-04T23:11:57
241,2502,personal,84052.26,13.46,25,0,paid_off,2023-04-01T23:34:46,2025-05-01T23:34:46
242,141,mortgage,292802.63,6.13,131,240348.82,late,2024-05-04T18:54:15,2035-04-04T18:54:15
243,1482,personal,6022.69,16.51,32,5381.07,defaulted,2025-12-06T01:05:08,2028-08-06T01:05:08
244,226,personal,4374.82,12.53,18,3794.98,active,2026-02-21T02:17:36,2027-08-21T02:17:36
245,3937,auto,2633338.83,6.2,51,1544803.74,active,2024-03-13T10:02:01,2028-06-13T10:02:01
246,3566,auto,129909.84,9.62,49,129660.15,active,2026-05-13T21:06:57,2030-06-13T21:06:57
247,1234,business,108433.7,11.44,32,92990.07,active,2025-11-04T22:08:01,2028-07-04T22:08:01
248,388,personal,3329915.88,6.17,40,2998121.82,active,2026-01-05T14:39:56,2029-05-05T14:39:56
249,550,credit_line,4101720.58,9.39,30,2231855.11,active,2025-01-16T17:44:13,2027-07-16T17:44:13
250,3184,auto,11636.89,4.86,81,10018.42,active,2025-05-15T00:04:59,2032-02-15T00:04:59
251,2220,mortgage,144906.01,4.36,155,115960.6,defaulted,2024-01-01T17:00:27,2036-12-01T17:00:27
252,3716,auto,8926115.1,4.03,31,1476289.58,active,2024-03-01T04:01:12,2026-10-01T04:01:12
253,2172,auto,72522.45,4.35,35,34637.73,active,2024-10-16T20:03:44,2027-09-16T20:03:44
254,2410,auto,51206.75,7.08,54,0,paid_off,2024-04-21T14:31:49,2028-10-21T14:31:49
255,1945,student,120666.38,6.13,98,117557.33,active,2026-01-28T13:48:15,2034-03-28T13:48:15
256,2935,business,142906.94,6.77,92,119562.8,active,2024-12-18T02:58:34,2032-08-18T02:58:34
257,4271,mortgage,164471.81,2.67,178,150749.6,active,2024-09-01T19:15:43,2039-07-01T19:15:43
258,1854,mortgage,1348049,5.77,164,1261527.74,active,2025-06-03T01:52:40,2039-02-03T01:52:40
259,3890,auto,95777.11,6.13,45,85163.85,defaulted,2026-04-30T05:45:28,2030-01-30T05:45:28
260,3024,personal,9707.1,11.9,24,9401.14,active,2026-04-23T02:16:39,2028-04-23T02:16:39
261,2895,personal,5254.74,16.84,18,4756.49,active,2026-03-16T17:32:09,2027-09-16T17:32:09
262,1945,mortgage,787477.33,6.93,319,730692.18,active,2024-02-07T21:46:10,2050-09-07T21:46:10
