id,account_id,card_id,merchant_id,amount,currency,type,status,description,created_at
32,3725,,255,263.35,GBP,purchase,completed,Coursera South (NL) (Education),2026-05-09T09:03:10
33,7399,5912,430,3942.96,INR,purchase,pending,HealthPlus Pharmacy Online (JP) (Pharmacy),2026-05-12T14:15:43
34,6951,,64,21.34,USD,purchase,failed,Lyft Plaza (FR) (Transport),2026-01-07T15:45:59
35,8167,,380,235.34,AUD,purchase,completed,AllShield Online (TR) (Insurance),2026-04-23T18:41:04
36,5551,,65,83.57,EUR,withdrawal,completed,ATM withdrawal at ATM - Santander Downtown (BR),2025-06-11T23:14:59
37,6852,5468,66,34.6,USD,purchase,completed,Lyft #466 (PL) (Transport),2025-10-02T20:20:53
38,6183,,242,124.25,EUR,purchase,failed,Coursera North (CA) (Education),2024-06-18T08:46:06
39,6310,,113,15315.68,JPY,deposit,completed,Deposit - Inbound payment,2026-05-04T11:17:56
40,5199,,320,121.16,EUR,deposit,completed,Deposit - Salary,2026-04-20T17:41:50
41,781,645,75,104.03,USD,purchase,failed,GreenGrocer North (SG) (Groceries),2026-04-02T08:42:45
42,9032,7233,86,32.53,USD,purchase,completed,WaterWorks North (AE) (Utilities),2025-12-01T16:41:52
43,3755,,401,9.83,USD,purchase,completed,Disney+ Downtown (SG) (Streaming),2025-08-22T00:48:05
44,7867,6287,75,67.18,USD,purchase,completed,GreenGrocer North (SG) (Groceries),2026-01-29T15:41:26
45,2862,,47,3480.55,NOK,deposit,completed,Deposit - Inbound payment,2026-05-14T16:13:02
46,409,,307,69.91,USD,purchase,pending,Petrol Plus North (NL) (Fuel),2025-07-27T12:37:59
47,1204,995,102,54.71,EUR,purchase,completed,T-Mobile #310 (MX) (Telecom),2025-04-20T12:05:02
48,5783,4595,462,45717.35,INR,purchase,completed,Skillshare Central (IN) (Education),2026-04-29T15:27:58
49,2971,2397,397,85.25,ZAR,purchase,pending,Bean & Brew Central (IT) (Coffee Shops),2026-04-19T23:50:18
50,1204,995,89,85.21,EUR,purchase,completed,TransAir Express (TR) (Travel - Airlines),2025-07-08T13:56:13
51,9042,7240,267,29.46,USD,purchase,completed,T-Mobile Plaza (TR) (Telecom),2026-03-04T09:51:16
52,8965,7181,62,155,JPY,withdrawal,completed,ATM withdrawal at ATM - Local Bank North (ZA),2026-03-01T20:33:49
53,582,,348,6.66,EUR,purchase,pending,Morning Cup Express (IN) (Coffee Shops),2026-04-25T23:42:58
54,2163,,191,91.7,ZAR,purchase,completed,Daily Grind Downtown (AU) (Coffee Shops),2026-03-16T00:17:29
55,5990,4768,125,52.09,EUR,purchase,failed,Digital Den Online (JP) (Electronics),2026-01-07T01:44:28
56,4133,,134,2220.86,MXN,deposit,completed,Deposit - Inbound payment,2026-03-29T20:40:05
57,6814,,174,89.1,USD,purchase,completed,GymPro North (MX) (Health/Fitness),2024-12-17T04:06:31
58,9283,,495,93.01,EUR,withdrawal,completed,ATM withdrawal at ATM - Barclays #37 (SG),2025-03-04T01:56:44
59,5936,4715,254,0.92,EUR,purchase,failed,ProBuilders Supply Central (TR) (Home Improvement),2026-03-05T15:13:36
60,1826,,74,185.03,EUR,purchase,completed,Hotel Aurora Downtown (PL) (Travel - Hotels),2026-04-12T00:39:10
61,3155,,100,39.08,GBP,purchase,completed,Denim & Co Downtown (CA) (Clothing),2026-03-06T10:52:19
62,8186,6551,122,9.43,BRL,purchase,reversed,Gulf Express (ES) (Fuel),2024-10-16T17:13:47
63,8920,,225,78.57,CAD,purchase,completed,Kyivstar Online (SG) (Telecom),2026-04-19T03:04:31
64,6110,4872,110,319.05,EUR,purchase,completed,Skillshare South (CA) (Education),2025-11-20T08:40:35
65,710,,257,1225.56,PLN,purchase,reversed,Skillshare Downtown (US) (Education),2025-07-06T18:50:27
66,5232,,274,449.49,EUR,deposit,completed,Deposit - Inbound payment,2025-12-03T20:31:17
67,6318,,306,12.43,AUD,purchase,completed,Apple Music Downtown (NL) (Streaming),2026-02-15T06:22:38
68,9209,7367,449,66.74,GBP,purchase,completed,Gadget Hub #461 (AE) (Electronics),2026-05-07T12:34:08
69,6647,5299,21,12479.22,INR,withdrawal,completed,ATM withdrawal at ATM - Citi Express (MX),2026-04-18T01:22:23
70,518,,480,35.1,USD,purchase,completed,Apteka 24 Express (DE) (Pharmacy),2026-03-02T10:18:16
71,4647,3717,363,169.38,AUD,purchase,completed,Spotify North (UA) (Streaming),2026-03-21T06:59:34
72,1240,,427,18,ZAR,purchase,completed,Kyivstar South (ZA) (Telecom),2024-11-04T21:41:14
73,2915,2348,281,423.35,BRL,purchase,completed,FitClub Express (ES) (Health/Fitness),2025-09-27T13:52:37
74,8842,7081,84,474.83,SEK,purchase,failed,BP Central (AE) (Fuel),2026-01-25T04:32:24
75,1871,,176,20.69,GBP,purchase,failed,FreeNow Express (GB) (Transport),2025-08-20T08:44:01
76,3034,,90,23745.08,TRY,purchase,completed,BlueWings Express (US) (Travel - Airlines),2025-11-21T08:04:25
77,2987,,452,307.24,EUR,deposit,completed,Deposit - Salary,2025-09-04T09:03:37
78,6047,,116,47.41,GBP,purchase,failed,BodyWorks Downtown (GB) (Health/Fitness),2025-06-15T12:01:51
79,5006,3986,156,63.15,GBP,purchase,reversed,Trendline North (UA) (Clothing),2025-11-08T22:06:22
80,7869,6289,361,46.05,EUR,purchase,completed,Burger House Central (JP) (Restaurants),2024-05-25T16:21:53
81,1525,1257,85,9433.85,UAH,withdrawal,completed,ATM withdrawal at ATM - Santander Plaza (AU),2025-08-09T20:53:02
82,8736,6984,447,27.15,GBP,purchase,completed,Bolt #759 (TR) (Transport),2026-03-05T05:13:00
83,1568,1287,280,13.96,EUR,deposit,reversed,Deposit - Inbound payment,2025-05-24T07:24:23
84,4860,,311,345.14,PLN,withdrawal,completed,ATM withdrawal at ATM - Chase Central (AE),2025-09-26T05:29:49
85,5480,,225,777.18,MXN,purchase,completed,Kyivstar Online (SG) (Telecom),2026-04-14T19:58:02
86,2880,2320,429,3.45,EUR,purchase,completed,Espresso Lab North (ZA) (Coffee Shops),2025-11-04T03:22:05
87,7661,,44,138.34,CAD,purchase,completed,NationalGas North (UA) (Utilities),2025-12-09T06:48:08
88,3967,3170,353,87.9,EUR,transfer,completed,Transfer to acct ****0075,2025-06-28T06:29:14
89,24,,445,247.82,USD,purchase,completed,CoverPlus Downtown (SE) (Insurance),2025-08-03T03:56:40
90,3145,,472,27.41,USD,purchase,completed,Bolt Downtown (SG) (Transport),2026-04-11T15:46:57
91,3498,,151,728.82,INR,purchase,completed,BP South (ZA) (Fuel),2026-04-16T09:32:28
92,4959,,488,1077.97,SEK,purchase,failed,Couture House Central (MX) (Clothing),2025-08-09T04:35:36
93,7719,,274,13063.58,UAH,deposit,completed,Deposit - Salary,2026-03-09T18:47:05
94,2646,,169,67.47,USD,purchase,completed,City Electric Express (FR) (Utilities),2026-01-27T01:12:52
95,2749,,125,351.15,BRL,purchase,pending,Digital Den Online (JP) (Electronics),2026-02-11T16:28:57
96,7607,,89,2502,AED,deposit,completed,Deposit - Inbound payment,2024-09-09T19:40:25
97,4029,,198,95.75,MXN,purchase,completed,Morning Cup North (GB) (Coffee Shops),2026-04-18T21:37:00
98,6479,,106,40.03,EUR,purchase,failed,Vodafone Express (CA) (Telecom),2025-10-07T21:41:37
99,3721,,284,857.35,EUR,purchase,completed,AirGlobal South (UA) (Travel - Airlines),2026-05-03T00:35:12
100,9379,,318,1.51,AUD,purchase,completed,Urban Threads North (ZA) (Clothing),2025-10-03T20:16:33
101,1899,1547,388,0.92,EUR,purchase,completed,GymPro Downtown (ZA) (Health/Fitness),2026-03-09T11:24:08
102,2951,,117,85.39,AUD,deposit,reversed,Deposit - Salary,2026-05-09T02:06:43
103,9354,,87,9424.78,MXN,purchase,completed,SkyJet South (US) (Travel - Airlines),2025-06-23T03:13:02
104,6395,5096,79,2.45,EUR,purchase,pending,Netflix North (ZA) (Streaming),2026-03-13T14:43:12
105,8646,,332,2860.21,TRY,purchase,completed,NationalGas Express (SE) (Utilities),2025-05-09T06:20:02
106,2739,,411,5.62,GBP,purchase,completed,Morning Cup Plaza (AU) (Coffee Shops),2026-01-04T18:09:11
107,8324,,176,562.26,MXN,purchase,reversed,FreeNow Express (GB) (Transport),2025-10-27T11:29:32
108,2812,,1,1503.94,INR,purchase,failed,Lyft #440 (JP) (Transport),2025-11-20T11:37:19
109,592,,111,130.99,CAD,transfer,completed,Transfer from acct ****4889,2026-05-10T11:24:36
110,29,22,308,361.32,USD,purchase,completed,Skillshare #571 (ZA) (Education),2025-01-15T16:59:15
111,173,146,403,573.3,AED,purchase,completed,NationalGas South (JP) (Utilities),2025-09-24T04:31:26
112,5127,,233,1036.02,TRY,purchase,completed,GymPro Central (GB) (Health/Fitness),2026-03-27T04:11:00
113,7022,5597,119,26.24,GBP,purchase,completed,Uber Central (SE) (Transport),2025-11-05T13:52:13
114,8549,,294,87.74,EUR,purchase,completed,EcoEnergy South (US) (Utilities),2025-08-24T20:02:06
115,7009,5584,471,711.67,NOK,purchase,reversed,BuildMart #927 (AU) (Home Improvement),2026-05-14T21:52:33
116,5509,,375,71.37,SGD,purchase,completed,CrossFit Central South (ES) (Health/Fitness),2026-04-27T15:18:41
117,4988,,175,4668.69,INR,purchase,completed,Sakura Sushi Central (NL) (Restaurants),2026-03-14T03:19:36
118,6068,,498,66.78,AED,purchase,completed,Netflix #938 (JP) (Streaming),2026-05-15T22:25:24
119,40,32,316,8928.99,TRY,purchase,completed,BuildMart Downtown (SG) (Home Improvement),2025-08-21T09:14:15
120,3773,3023,84,76.08,EUR,purchase,completed,BP Central (AE) (Fuel),2025-03-29T19:10:14
121,4559,3642,232,26.05,EUR,purchase,pending,Petrol Plus Online (IN) (Fuel),2025-09-07T12:58:43
122,8815,7056,419,517.45,INR,purchase,completed,Daily Grind North (SG) (Coffee Shops),2026-04-13T19:24:32
123,1842,,245,14079.76,INR,purchase,pending,SafeNet Insurance South (GB) (Insurance),2025-03-08T09:15:40
124,629,,64,41.08,USD,purchase,completed,Lyft Plaza (FR) (Transport),2025-08-30T02:29:54
125,5500,,484,673.01,MXN,deposit,completed,Deposit - Inbound payment,2026-04-29T10:35:11
126,7512,6002,412,92.58,USD,withdrawal,completed,ATM withdrawal at ATM - Santander #36 (US),2026-02-06T15:30:27
127,1870,,32,0.79,GBP,purchase,failed,Shopify Store South (JP) (Online Retail),2026-04-21T01:50:17
128,8823,,133,1095.91,NOK,purchase,completed,Market & Co Online (FR) (Groceries),2025-07-02T20:45:23
129,6105,4867,16,68.25,AUD,purchase,completed,Orange South (PL) (Telecom),2026-05-11T21:20:23
130,9507,,348,6.89,EUR,deposit,completed,Deposit - Inbound payment,2025-11-17T23:54:25
131,4415,,490,86.89,EUR,purchase,completed,Urban Threads South (SE) (Clothing),2026-02-12T04:41:10
132,2808,2253,371,580.72,BRL,purchase,completed,Skillshare Express (MX) (Education),2025-12-17T15:36:43
133,1028,848,275,9.56,EUR,purchase,completed,Chicken King Express (GB) (Fast Food),2026-03-19T07:26:04
134,6259,4994,291,1.36,CAD,purchase,reversed,Digital Den Downtown (SG) (Electronics),2026-01-25T16:40:31
135,3553,,83,977.27,UAH,transfer,completed,Transfer to acct ****1428,2026-03-22T04:04:12
136,9101,,56,33.43,CAD,purchase,failed,StarCinema South (NL) (Entertainment),2026-02-13T01:57:15
137,3450,,406,402.69,AED,purchase,pending,EcoEnergy Express (FR) (Utilities),2026-05-04T12:55:01
138,3844,,381,155,JPY,withdrawal,completed,ATM withdrawal at ATM - Local Bank North (AE),2025-09-22T13:32:24
139,1973,1605,416,19.72,EUR,purchase,completed,Apteka 24 Online (AE) (Pharmacy),2025-03-08T08:10:58
140,1871,,162,4.06,GBP,purchase,completed,Bean & Brew Plaza (JP) (Coffee Shops),2025-10-04T13:56:14
141,6173,4928,23,123.53,CHF,withdrawal,reversed,ATM withdrawal at ATM - Barclays Online (TR),2026-04-20T05:48:16
142,3900,3119,246,0.92,EUR,purchase,failed,Skillshare Central (IT) (Education),2026-04-07T03:07:59
143,8042,,398,168.45,EUR,withdrawal,pending,ATM withdrawal at ATM - Barclays Central (MX),2025-07-15T06:45:04
144,7499,,444,191.74,USD,purchase,completed,Udemy Express (SG) (Education),2026-04-23T12:02:25
145,9231,,89,135829.73,KRW,purchase,completed,TransAir Express (TR) (Travel - Airlines),2026-01-11T22:07:58
146,5824,4627,151,46.9,PLN,purchase,completed,BP South (ZA) (Fuel),2026-05-15T03:05:17
147,7334,,1,25.96,EUR,purchase,completed,Lyft #440 (JP) (Transport),2026-02-12T14:56:13
148,6380,,290,321.66,SEK,purchase,completed,Burger House Central (FR) (Restaurants),2026-01-24T07:16:47
149,9372,,466,714.67,CNY,purchase,reversed,WaterWorks South (AU) (Utilities),2025-12-31T16:40:07
150,3704,2969,44,1008.03,SEK,purchase,completed,NationalGas North (UA) (Utilities),2024-10-23T18:10:57
151,997,822,261,15.77,CHF,purchase,reversed,BP Downtown (UA) (Fuel),2026-04-25T19:53:27
152,8378,6709,12,99.86,EUR,purchase,completed,City University Bookstore Online (JP) (Education),2024-08-05T23:54:47
153,2966,2393,436,237.69,SGD,withdrawal,completed,ATM withdrawal at ATM - Barclays North (SE),2026-04-25T11:37:10
154,8019,,132,17.42,GBP,purchase,completed,FuelStop Express (BR) (Fuel),2025-09-16T14:47:47
155,3220,,467,236.33,EUR,purchase,completed,Daily Foods Express (ES) (Groceries),2026-02-06T23:24:30
156,396,331,318,235.14,UAH,purchase,reversed,Urban Threads North (ZA) (Clothing),2026-03-11T02:50:30
157,6582,,444,289.45,USD,purchase,completed,Udemy Express (SG) (Education),2026-03-01T04:00:54
158,1643,,100,130.85,EUR,deposit,failed,Deposit - Salary,2026-05-10T20:21:51
159,2738,2195,392,30.46,GBP,purchase,completed,Nature's Basket Online (TR) (Groceries),2026-03-26T20:43:39
160,8351,6688,53,9.86,EUR,purchase,completed,MovieMax Downtown (MX) (Entertainment),2025-09-09T03:25:07
161,3595,,130,198.33,EUR,purchase,completed,Hotel Linden Express (JP) (Travel - Hotels),2025-03-20T17:39:13
162,6882,5489,352,10.67,USD,purchase,completed,Bolt Plaza (IN) (Transport),2026-04-02T13:44:23
163,2775,,17,50249.91,JPY,purchase,completed,AirGlobal Central (ES) (Travel - Airlines),2025-08-30T06:18:52
164,2260,1833,457,1104.05,EUR,transfer,completed,Transfer from acct ****9365,2026-05-14T05:36:02
165,7552,,441,74.92,CAD,purchase,completed,FitClub #569 (JP) (Health/Fitness),2025-11-11T15:11:03
166,8437,,379,11.15,EUR,purchase,completed,Wellness Drug Express (TR) (Pharmacy),2025-08-08T00:52:22
167,7879,,357,0.92,EUR,purchase,completed,FreeNow North (FR) (Transport),2025-03-16T09:11:20
168,8791,7035,447,41.95,CAD,purchase,completed,Bolt #759 (TR) (Transport),2026-05-15T11:45:49
169,8323,,449,6359.47,MXN,transfer,completed,Transfer to acct ****1281,2026-04-24T04:29:42
170,9004,7211,228,9.22,CAD,purchase,completed,Morning Cup Express (ZA) (Coffee Shops),2026-05-03T03:29:25
171,2443,,178,914.69,SEK,deposit,pending,Deposit - Inbound payment,2025-04-21T04:21:43
172,7088,,129,179.15,BRL,purchase,completed,Vodafone North (ES) (Telecom),2026-05-13T08:13:03
173,1987,,431,116.02,SEK,deposit,failed,Deposit - Inbound payment,2025-12-30T04:15:21
174,6142,4900,19,0.92,EUR,purchase,completed,Hometown Grocery North (MX) (Groceries),2026-04-14T06:57:37
175,398,334,327,46.59,USD,purchase,completed,BP Plaza (PL) (Fuel),2026-04-19T15:38:38
176,7012,5587,331,78.99,USD,purchase,reversed,Coursera Express (AE) (Education),2025-07-02T20:32:37
177,6538,,146,0.92,EUR,purchase,completed,Sub Shack Plaza (JP) (Fast Food),2026-05-04T08:10:29
178,6499,5179,57,6.17,EUR,purchase,completed,Bean & Brew Plaza (AE) (Coffee Shops),2026-04-19T15:10:26
179,232,,194,104.11,EUR,withdrawal,reversed,ATM withdrawal at ATM - Santander Express (BR),2025-10-05T16:46:54
180,3655,,31,17.09,GBP,purchase,completed,MovieMax South (SE) (Entertainment),2026-03-09T04:44:53
181,9296,,348,859.23,JPY,deposit,completed,Deposit - Salary,2026-04-12T08:01:26
182,1114,,110,20173.22,JPY,purchase,completed,Skillshare South (CA) (Education),2026-02-27T08:32:47
183,6751,,107,593.37,GBP,deposit,completed,Deposit - Salary,2026-03-06T05:07:33
184,9526,7619,369,105.26,AUD,withdrawal,failed,ATM withdrawal at ATM - Citi South (NL),2026-04-23T13:42:16
185,333,,5,75.4,EUR,purchase,completed,NationalGas #911 (TR) (Utilities),2026-02-27T20:06:56
186,4256,,205,4161.51,INR,purchase,completed,Trendline Plaza (MX) (Clothing),2025-11-11T10:02:53
187,5414,,172,369.37,GBP,purchase,reversed,Gadget Hub #12 (CA) (Electronics),2026-05-05T01:40:47
188,4671,3732,167,72.48,EUR,purchase,completed,YogaHaus Central (MX) (Health/Fitness),2025-09-07T04:32:58
189,8474,6787,322,127.05,EUR,purchase,completed,Trendline Express (TR) (Clothing),2025-07-10T23:30:37
190,8850,,431,9.91,GBP,purchase,completed,Disney+ Central (IT) (Streaming),2025-08-13T11:46:48
191,1072,,14,6.23,USD,purchase,failed,CityTransit Plaza (US) (Public Transit),2026-05-14T20:34:56
192,9020,,170,54.54,USD,purchase,completed,TotalEnergies North (ES) (Fuel),2025-01-17T11:46:33
193,4524,,262,256.97,USD,purchase,reversed,EcoEnergy North (CA) (Utilities),2025-06-19T16:19:46
194,2689,,198,1.95,AUD,purchase,failed,Morning Cup North (GB) (Coffee Shops),2026-02-06T02:12:40
195,285,,188,102.48,EUR,withdrawal,completed,ATM withdrawal at ATM - Citi Plaza (ZA),2026-04-14T07:06:11
196,9331,,463,259.77,USD,withdrawal,completed,ATM withdrawal at ATM - Barclays Express (SE),2025-02-23T00:19:35
197,4342,3471,202,3362.66,INR,purchase,completed,CrossFit Central Plaza (JP) (Health/Fitness),2025-03-01T08:34:57
198,8484,,467,230.99,PLN,purchase,failed,Daily Foods Express (ES) (Groceries),2026-05-04T18:28:24
199,17,,355,212.75,EUR,withdrawal,completed,ATM withdrawal at ATM - Local Bank #567 (JP),2025-07-12T22:08:19
200,5980,,104,81.75,GBP,deposit,completed,Deposit - Salary,2026-05-03T13:23:18
201,5460,4342,9,60.27,AED,purchase,failed,QuickBite #935 (AU) (Fast Food),2025-11-13T13:10:21
202,5829,4632,487,107.29,USD,transfer,failed,Transfer from acct ****2844,2025-06-13T17:42:14
203,7334,,471,87.67,EUR,purchase,completed,BuildMart #927 (AU) (Home Improvement),2026-04-30T08:29:49
204,391,328,4,10.16,AUD,purchase,completed,Metro Card North (JP) (Public Transit),2026-04-15T10:15:15
205,7936,6345,324,74.34,EUR,purchase,completed,BodyWorks Express (TR) (Health/Fitness),2025-10-13T11:08:45
206,4071,3256,137,46.2,GBP,purchase,completed,Hometown Grocery Central (FR) (Groceries),2025-09-01T07:04:08
207,8527,,73,5769.21,JPY,purchase,pending,Petrol Plus Plaza (ES) (Fuel),2025-11-04T23:34:27
208,8345,,444,5,BRL,purchase,completed,Udemy Express (SG) (Education),2026-02-10T05:36:55
209,7396,5909,273,2643.1,JPY,purchase,completed,MediMart South (ZA) (Pharmacy),2025-03-01T21:12:07
210,8848,,224,10.11,EUR,purchase,completed,Spotify Express (ES) (Streaming),2025-12-17T20:56:18
211,4924,3928,355,193.24,EUR,withdrawal,reversed,ATM withdrawal at ATM - Local Bank #567 (JP),2026-05-05T22:50:13
212,969,,44,356.67,PLN,purchase,completed,NationalGas North (UA) (Utilities),2025-07-26T08:47:14
213,4904,,260,176.85,EUR,purchase,completed,Lyft North (IT) (Transport),2026-01-10T04:26:55
214,3442,,136,352.07,TRY,purchase,completed,Spotify Express (SE) (Streaming),2024-12-22T23:23:03
215,2157,,269,18.09,USD,deposit,completed,Deposit - Inbound payment,2025-11-20T15:38:43
216,6284,,348,6.78,EUR,purchase,completed,Morning Cup Express (IN) (Coffee Shops),2026-04-21T16:29:16
217,220,,104,1645.74,SEK,purchase,completed,CoverPlus North (SE) (Insurance),2024-07-05T10:34:26
218,5279,4207,392,29.27,USD,purchase,pending,Nature's Basket Online (TR) (Groceries),2026-05-12T07:11:05
219,8171,,441,39.92,EUR,purchase,completed,FitClub #569 (JP) (Health/Fitness),2025-11-27T08:42:24
220,6608,,84,229.21,DKK,purchase,completed,BP Central (AE) (Fuel),2026-02-15T14:00:51
221,2344,1901,192,78.33,GBP,purchase,completed,Skillshare Downtown (SG) (Education),2025-09-01T01:48:34
222,5786,4599,24,186.68,AUD,withdrawal,completed,ATM withdrawal at ATM - Local Bank Plaza (ZA),2026-05-02T03:45:15
223,8830,,400,43.99,EUR,purchase,completed,Chevron Online (CA) (Fuel),2026-02-04T01:47:53
224,215,,142,134.79,PLN,purchase,reversed,Kyivstar Downtown (DE) (Telecom),2026-04-17T15:33:58
225,9490,,220,17.02,GBP,transfer,completed,Transfer to acct ****1858,2026-04-13T02:18:59
226,3039,2452,106,53.57,USD,purchase,failed,Vodafone Express (CA) (Telecom),2026-04-25T07:26:20
227,7905,,195,1,USD,purchase,completed,BookDepot Downtown (AU) (Online Retail),2026-05-02T08:23:42
228,2297,,222,105.46,EUR,purchase,completed,NationalGas North (PL) (Utilities),2025-04-22T08:35:58
229,8480,,474,67.7,USD,purchase,reversed,StyleCo Online (TR) (Clothing),2024-11-10T18:00:36
230,3730,2988,430,31.66,EUR,purchase,pending,HealthPlus Pharmacy Online (JP) (Pharmacy),2025-03-23T04:33:43
231,9351,,311,107.17,EUR,withdrawal,completed,ATM withdrawal at ATM - Chase Central (AE),2026-05-02T04:50:28
232,2986,,276,1482.92,ZAR,transfer,completed,Transfer from acct ****6051,2025-08-01T04:30:10
233,3569,,173,894.57,UAH,purchase,completed,CinePlex Express (IT) (Entertainment),2024-07-23T04:54:28
234,4170,3331,106,42.07,USD,purchase,completed,Vodafone Express (CA) (Telecom),2026-04-30T15:27:13
235,7406,,235,1429.55,SEK,purchase,completed,Skillshare #251 (NL) (Education),2026-05-12T11:46:55
236,4660,,231,5090.84,INR,purchase,completed,Hotel Linden South (ES) (Travel - Hotels),2026-05-01T13:06:52
237,7348,,205,205.94,AUD,purchase,failed,Trendline Plaza (MX) (Clothing),2026-03-02T10:23:31
238,2973,2400,93,11.41,AED,purchase,failed,CityTransit #863 (NL) (Public Transit),2025-09-03T20:17:29
239,4468,,204,292.93,EUR,deposit,completed,Deposit - Salary,2026-01-08T13:46:15
240,482,,495,169.93,CAD,withdrawal,reversed,ATM withdrawal at ATM - Barclays #37 (SG),2025-12-02T01:55:53
241,9365,,296,2.11,CHF,purchase,completed,CityPharm Plaza (PL) (Pharmacy),2026-05-12T00:09:11
242,8608,6882,400,79.71,AUD,purchase,failed,Chevron Online (CA) (Fuel),2026-04-29T19:49:06
243,6618,5281,209,635.86,CNY,withdrawal,reversed,ATM withdrawal at ATM - Santander #807 (FR),2025-09-04T09:51:14
244,6900,5503,469,107.17,MXN,purchase,completed,Burger Express Central (US) (Fast Food),2026-03-14T15:09:04
245,3103,,188,182.39,AUD,withdrawal,pending,ATM withdrawal at ATM - Citi Plaza (ZA),2026-03-22T21:19:37
246,4417,,414,4.56,EUR,purchase,completed,Metro Card Downtown (JP) (Public Transit),2024-07-14T22:28:39
247,1078,,156,716.45,BRL,deposit,completed,Deposit - Inbound payment,2024-09-28T02:45:35
248,4740,3787,500,0.92,EUR,purchase,completed,HealthPlus Pharmacy Express (UA) (Pharmacy),2025-12-31T00:10:18
249,5244,,8,5.75,USD,purchase,completed,Daily Grind Central (UA) (Coffee Shops),2025-04-26T19:56:24
250,8092,,427,84.1,USD,purchase,completed,Kyivstar South (ZA) (Telecom),2024-10-27T18:57:34
251,7239,,302,27592.36,JPY,purchase,completed,WaterWorks North (NL) (Utilities),2026-05-13T16:50:44
252,6380,,134,829.68,SEK,purchase,completed,GuardLife Plaza (US) (Insurance),2026-03-23T22:13:08
253,3716,2978,66,1885.59,INR,transfer,completed,Transfer to acct ****5585,2026-03-19T03:34:33
254,7227,,472,10.52,EUR,purchase,completed,Bolt Downtown (SG) (Transport),2024-07-14T22:57:19
255,5320,4239,479,5327.49,TRY,purchase,completed,ProBuilders Supply Downtown (AU) (Home Improvement),2024-11-18T10:12:11
